Date,Totalizadores Energia_KW Gral Planta,Totalizadores Energia_KW Cond 5. 6 y 9,rolling_7,Consolidado KPI_EE Frio / Hl,inter_agua_cond_x_frio,Consolidado EE_KW Gral Planta,Consolidado KPI_EE Aire / Hl,Consolidado EE_Servicios (Kw),Servicios_total,eficiencia_frio,Consolidado KPI_CO 2 linea 3 / Hl,Totalizadores Energia_KW Obrador Contratistas,Consolidado KPI_EE Resto Serv / Hl,Consolidado KPI_CO 2 Linea 4 / Hl,Consolidado KPI_EE Agua / Hl,Consolidado KPI_EE Resto Planta / Hl,Consolidado EE_Sala Maq (Kw),Consolidado KPI_EE Envasado / Hl,Consolidado KPI_EE Elaboracion / Hl,Consolidado EE_Planta (Kw),Consolidado KPI_EE Servicios / Hl,Consolidado KPI_EE Caldera / Hl,rolling_30,Consolidado KPI_EE Bodega / Hl,Totalizadores Energia_KW Laboratorio,Consolidado KPI_Aire Planta / Hl,Consolidado KPI_EE Planta / Hl,Totalizadores Energia_KW Linea 3,Consolidado KPI_Agua Planta / Hl,Consolidado EE_Restos Planta (Kw),target
2023-02-05,46719.0,141.0,19455.0,11.7815706891125,1321319.7000000002,46719.0,2.62706027903556,29295.0,29295.0,0.0008405459137621567,0.258666666666667,42.0,2.70995447052114,1.12938425565082,0.100345600219389,2.03107597283813,19364.0,3.50773315549517,4.5604270609023,45498.77,18.2585363877454,0.142104328260998,16878.7,4.58785070319828,221.0,22.0317802618335,28.357772576981,2173.0,12.3028068721155,3258.77,16560.0
2023-02-06,37647.0,320.0,19528.85714285714,6.24972874441214,1139328.0,37647.0,1.54658142479474,26742.0,26742.0,0.0005990429313381874,0.258666666666667,38.0,1.59451110779839,1.21487603305785,0.0532132701064077,0.904750133504925,17535.0,0.365322308248246,2.41535410412063,36507.33,10.0924061644366,0.108690934685428,16898.9,2.29534119707214,215.0,12.6379629507324,13.7778327103104,285.0,6.80303353379514,2397.33,13474.0
2023-02-07,51716.0,3.0,18906.571428571428,3.29598825831703,646752.0,51716.0,1.28033268101761,24906.0,24906.0,0.0007468998138216402,0.506535947712418,46.0,1.11105675146771,1.07167893445496,0.0481898238747554,1.07939823874755,15212.0,4.00342465753425,1.12622309197652,50288.58,6.09246575342466,0.0577299412915851,16772.666666666668,1.12328767123288,321.0,10.5472113502935,12.301511741683,5796.0,4.39068003913894,4412.58,17407.0
2023-02-08,59569.0,137.0,18053.14285714286,3.19289042151216,1342079.7,59569.0,1.06350196265454,29844.0,29844.0,0.0005374045820710584,0.28956687551076,61.0,0.810924832165523,1.08506616257089,0.0412707729557211,0.841406507942331,20772.0,3.37319784291427,0.942441028651088,57959.18,5.47415532484684,0.0641989801533439,16842.2,0.888513885322279,496.0,9.3238930261565,10.6312007043545,6883.0,4.21730437653619,4587.18,18666.0
2023-02-09,65290.0,276.0,17763.0,1.43346439761627,1594076.4000000001,65290.0,0.549702033544265,33050.0,33050.0,0.0002745929306360595,0.273077912059655,60.0,0.391580143761135,1.08907837445573,0.0332524420962094,0.393201296307673,21489.0,1.3749462431652,0.594013024513117,63809.11,2.53809055722799,0.0248049394851631,17089.766666666666,0.429593905510844,469.0,4.56349450144375,4.90025112121398,6877.0,2.5612751121214,5120.11,22216.0
2023-02-10,71553.0,444.0,18154.571428571428,1.73147891961826,2112741.6,71553.0,0.550634613211334,37242.0,37242.0,0.00023271602970794094,0.254752851711027,55.0,0.460927544590492,1.07763671875,0.0360075288469407,0.400600904864524,24757.0,1.55229859749896,0.610179531044803,70127.97,2.90258092925923,0.0182375795458531,17363.8,0.478853370639835,383.0,4.62034269503104,5.46565996266752,7047.0,2.65521232361572,5139.97,17557.0
2023-02-11,60881.0,170.0,17826.14285714286,2.71381095911585,1343110.5,60881.0,0.797124971017853,29165.0,29165.0,0.0004248380416355063,0.227317847925352,58.0,0.708864672694953,1.07049271083226,0.0411160058737151,0.723516500502357,18005.0,3.13269959038566,0.840714120102017,59551.79,4.50807635829662,0.0466805780972254,17451.166666666668,0.837468119638303,296.0,6.86204498029214,9.20500656928665,7621.0,3.48244841177835,4680.79,17366.0
2023-02-12,35080.0,16.0,17606.571428571428,12.7738139021699,1316342.8,35080.0,3.50570062522986,26146.0,26146.0,0.00127431941622192,0.255222524977293,44.0,1.70430305259287,1.08108108108108,0.198602427363001,1.0363148216256,18066.0,4.78116954762781,0.153732990069879,34263.87,19.2320706141964,0.21257815373299,17503.833333333332,-0.173593232806179,83.0,28.860610518573,25.2032879735197,2676.0,18.6186097830085,1408.87,18189.0
2023-02-13,34920.0,1.0,17839.285714285714,4.75740852143436,1473309.0,34920.0,1.39539141579264,30459.0,30459.0,0.000526396710782228,0.255222524977293,47.0,1.22250411947794,1.08108108108108,0.0737582716501452,-0.179962336201711,20251.0,0.332696884890017,0.793816859780818,34077.95,7.96667800068004,0.114299165642246,17697.333333333332,-0.148824314074229,112.0,11.7989694766301,8.91322940914916,303.0,7.11408992231842,-688.050000000003,16205.0
2023-02-14,57470.0,85.0,18229.428571428572,1.52479401637142,1320707.5,57470.0,0.579337041579689,28932.0,28932.0,0.0003417976991862378,0.401342782543827,47.0,0.401405200483832,1.08077314343845,0.0295455304622417,0.260905852790806,17586.0,1.64598714769425,0.632311989510396,55917.82,2.72232894055279,0.0542922645755206,17642.2,0.41533111930043,472.0,4.96844791400557,5.26153393054824,6364.0,3.08197520339604,2772.82,17334.0
2023-02-15,61628.0,224.0,18219.0,1.89558429685458,1610328.6,61628.0,0.731047711115315,32094.0,32094.0,0.0003849972549246606,0.429437521050859,53.0,0.673088805073263,1.07303689687796,0.033244353654309,0.329291884331521,19162.0,1.90673865235701,0.824438099341565,60080.18,3.50968515191248,0.0275578194765983,17754.233333333334,0.598398365777562,500.0,6.12242889371758,6.57015378794258,6580.0,3.46448814084233,3011.18,19020.0
2023-02-16,61647.0,424.0,18269.571428571428,2.13149365931066,1888686.0,61647.0,0.715316720682437,33274.0,33274.0,0.0003202248792069455,0.45002760905577,65.0,0.64337040473725,1.06583880037488,0.0357490261472188,0.328226489692178,21598.0,1.85188920715608,0.814607119323301,59996.87,3.7288811787541,0.0488607379316219,17889.266666666666,0.610871290057961,518.0,6.04382673713371,6.72360399492566,5313.0,3.86244133349471,2928.87,13416.0
2023-02-17,56428.0,82.0,17012.428571428572,2.22454360045764,829108.7999999999,56428.0,0.850619310550664,28576.0,28576.0,0.0005567218711503381,0.39702154626109,55.0,1.17909433086272,1.07006245120999,0.0475882538261288,0.517272712198843,14528.0,2.96987182675886,0.874993782022584,54883.62,4.73826460395629,0.0643353396673797,17749.933333333334,0.842328673995589,511.0,7.2917806629193,9.10040292493658,6708.0,4.2091064351921,3119.62,22369.0
2023-02-18,65793.0,114.0,17699.85714285714,2.56560535853558,2125055.0,65793.0,0.677960269761894,36042.0,36042.0,0.00026851046284116016,0.396604002425713,49.0,0.571064825434693,1.06851549755302,0.0322292058540166,0.325517273019223,23406.0,1.80839106299032,1.09051704362986,64155.12,4.13382575583796,0.0348671835573703,17984.966666666667,0.871450199568748,619.0,5.83669771069413,7.35825113547736,4474.0,3.6901523145387,2838.12,17942.0
2023-02-19,47210.0,8.0,17782.14285714286,2.15729418413111,1523275.8,47210.0,0.646755401652058,30067.0,30067.0,0.0002847466705723449,0.396604002425713,53.0,0.47193064723635,1.08619528619529,0.0324640190455578,0.231183493849872,18669.0,0.586757084971564,1.06830670081401,45754.73,3.61516911349181,0.046291286416814,18053.833333333332,0.801380321994974,556.0,5.48954538349625,5.50141639312725,927.0,3.56405631906119,1922.73,14484.0
2023-02-20,34425.0,8.0,17252.85714285714,2.59811778169819,1052986.8,34425.0,0.762358504019423,25090.0,25090.0,0.0003069402866647228,0.396604002425713,41.0,0.609348667800937,1.08619528619529,0.0426920762250877,0.172307372186113,14947.0,0.0862810448078453,1.19501937735939,33193.58,4.50060585078761,0.0550691907609324,17916.7,0.912498284693366,525.0,6.00559122695771,5.95421364514095,188.0,3.32800878236997,960.580000000002,16449.0
2023-02-21,40109.0,259.0,17287.714285714286,3.05323532687382,1449156.9,40109.0,0.860155176894235,28088.0,28088.0,0.0004901372784232448,0.64,42.0,0.747113635519917,1.28947368421053,0.0465901919293166,0.256394550246873,19422.0,0.275828785685117,1.47380925864053,38895.3,5.21364665701452,0.0681219140958533,17969.733333333334,1.12410439172885,456.0,7.14927423246835,7.21967925158704,652.0,4.38894457437725,1381.3,20340.0
2023-02-22,65994.0,380.0,17717.14285714286,1.66863555818074,2025864.0,65994.0,0.56047778434075,35851.0,35851.0,0.0002259310826768534,0.297583429228999,49.0,0.463755988711689,1.06073258682862,0.023544661022511,0.260794447725931,22454.0,1.47699678414386,0.603711360504036,64392.98,2.9411137362998,0.01624335499114,18257.4,0.439555030517819,541.0,4.77882785325195,5.28261632867362,6756.0,2.64166994815252,3178.98,20688.0
2023-02-23,68128.0,200.0,17955.428571428572,1.9679111015565,1963291.2000000002,68128.0,0.620964987962145,34813.0,34813.0,0.0002708009556446963,0.263948497854077,52.0,0.477614155109977,1.06633992648346,0.0297735970024742,0.33748419763961,23455.0,1.80525023614363,0.874468617392156,66531.86,3.31152789919212,0.0183587994296406,18367.533333333333,0.681653661724376,590.0,5.23701400310292,6.32873095036751,7132.0,3.12904333532775,3547.86,20743.0
2023-02-24,70635.0,167.0,19002.14285714286,1.80112984146445,1785972.2999999998,70635.0,0.567178331217558,35187.0,35187.0,0.0002579510568835333,0.269825729391032,57.0,0.447699246135598,1.08482142857143,0.0284804795834904,0.390611514102178,22939.0,1.7866291094814,0.763589443467116,69055.54,3.05531291190328,0.0335166619488636,18403.0,0.59800324052286,552.0,4.81050929696631,5.99614297895397,7360.0,2.9923779984822,4498.53999999999,19535.0
2023-02-25,69618.0,135.0,18597.285714285714,1.373736009921,1541311.5,69618.0,0.444855592462771,33629.0,33629.0,0.0002231588992357507,0.275814683941892,51.0,0.352593414576088,1.08210403726708,0.0196900989392311,0.367713300907959,20929.0,1.45587185121036,0.597524181023737,68058.01,2.36485120438358,0.0289022523715142,18284.833333333332,0.437190518232856,524.0,3.85124270894975,4.78596053752564,7412.0,2.59432524316393,5229.01,19312.0
